begin_datetime_mpt,pool_price,pool_price,pool_price
,min,max,mean
2000-01-01,5.84,28.57,18.69625
2000-01-02,5.85,388.07,41.72708333333333
2000-01-03,21.0,63.74,34.26833333333334
2000-01-04,6.46,57.93,30.059166666666666
2000-01-05,18.5,54.08,30.27416666666667
2000-01-06,21.0,51.12,32.555416666666666
2000-01-07,16.26,66.93,39.53916666666667
2000-01-08,21.09,51.05,39.003750000000004
2000-01-09,30.48,60.0,41.64625
2000-01-10,28.52,71.45,41.257083333333334
2000-01-11,18.01,70.01,46.29833333333334
2000-01-12,31.66,747.0,90.1275
2000-01-13,31.78,459.67,74.78875000000001
2000-01-14,20.48,53.09,36.12708333333333
2000-01-15,32.78,496.0,67.78833333333334
2000-01-16,32.76,150.43,56.60041666666667
2000-01-17,20.47,64.08,43.684583333333336
2000-01-18,32.48,498.25,86.49166666666667
2000-01-19,32.97,119.0,49.57333333333333
2000-01-20,33.46,480.0,76.77166666666666
2000-01-21,35.01,123.66,46.06625
2000-01-22,21.0,41.47,35.66625
2000-01-23,20.01,51.04,30.283749999999998
2000-01-24,21.0,403.46,56.09041666666667
2000-01-25,21.0,54.17,34.3175
2000-01-26,21.0,71.83,40.37625
2000-01-27,35.19,151.23,57.747083333333336
2000-01-28,21.0,67.4,39.485416666666666
2000-01-29,21.0,36.68,32.141666666666666
2000-01-30,33.58,70.0,42.98541666666667
2000-01-31,33.92,73.68,47.775416666666665
2000-02-01,18.5,70.6,41.694583333333334
2000-02-02,21.0,64.99,43.63458333333333
2000-02-03,36.14,449.15,71.665
2000-02-04,28.89,54.9,38.77458333333333
2000-02-05,21.0,47.7,37.693333333333335
2000-02-06,30.4,149.78,51.606249999999996
2000-02-07,21.0,62.12,42.40208333333333
2000-02-08,18.5,112.35,45.19708333333333
2000-02-09,23.19,155.0,57.33416666666667
2000-02-10,29.46,71.45,49.98333333333333
2000-02-11,35.29,151.23,72.30208333333333
2000-02-12,37.01,499.98,138.65
2000-02-13,34.32,60.57,45.88125
2000-02-14,23.0,46.49,38.322916666666664
2000-02-15,31.91,148.93,56.84041666666667
2000-02-16,35.68,69.61,46.97083333333333
2000-02-17,36.12,67.75,43.95166666666666
2000-02-18,22.17,43.05,35.44166666666667
2000-02-19,24.0,54.89,35.556666666666665
2000-02-20,28.83,52.99,37.62208333333333
2000-02-21,35.77,71.45,42.11541666666667
2000-02-22,29.96,64.97,41.17666666666667
2000-02-23,24.0,40.26,32.61833333333333
2000-02-24,24.0,155.14,41.7725
2000-02-25,24.0,36.73,33.501666666666665
2000-02-26,24.0,57.6,36.725833333333334
2000-02-27,24.25,50.0,38.97958333333333
2000-02-28,24.0,41.58,34.13
2000-02-29,22.09,36.75,32.61541666666667
2000-03-01,24.0,38.12,33.74875
2000-03-02,12.56,39.03,32.712916666666665
2000-03-03,23.99,40.96,35.507083333333334
2000-03-04,24.0,40.25,34.412083333333335
2000-03-05,24.0,40.22,30.323333333333334
2000-03-06,24.0,71.53,45.5275
2000-03-07,24.0,107.93,43.59291666666667
2000-03-08,35.7,78.12,56.77541666666667
2000-03-09,40.16,151.23,66.25291666666666
2000-03-10,24.03,68.0,48.45916666666667
2000-03-11,37.0,59.86,42.135
2000-03-12,24.0,132.52,47.92791666666667
2000-03-13,39.8,547.25,258.3825
2000-03-14,41.04,551.23,250.8475
2000-03-15,40.97,266.19,58.11666666666667
2000-03-16,40.81,499.99,196.12875
2000-03-17,42.53,261.36,84.98166666666667
2000-03-18,40.84,90.0,49.06666666666666
2000-03-19,28.0,64.97,41.01833333333334
2000-03-20,24.05,499.99,137.63916666666668
2000-03-21,39.83,151.21,95.03958333333333
2000-03-22,39.82,499.99,114.47291666666666
2000-03-23,40.5,484.55,190.07500000000002
2000-03-24,40.37,524.64,111.05166666666666
2000-03-25,36.75,65.0,53.094166666666666
2000-03-26,40.47,48.83,42.51125
2000-03-27,28.0,68.0,43.45083333333333
2000-03-28,24.0,47.72,37.79541666666667
2000-03-29,24.0,48.86,37.895
2000-03-30,24.0,42.53,38.185833333333335
2000-03-31,24.0,42.36,35.861666666666665
2000-04-01,24.0,64.89,39.76708333333333
2000-04-02,24.0,44.39,35.047826086956526
2000-04-03,6.44,47.14,39.121249999999996
2000-04-04,6.44,48.7,37.067083333333336
2000-04-05,6.44,64.99,36.01916666666667
2000-04-06,23.99,82.59,40.41708333333333
2000-04-07,24.0,68.0,39.447916666666664
2000-04-08,23.6,42.15,34.635416666666664
2000-04-09,6.44,59.67,30.8025
2000-04-10,24.03,116.26,48.517500000000005
2000-04-11,26.91,61.58,44.45875
2000-04-12,24.0,499.77,200.30958333333334
2000-04-13,24.0,380.66,129.0575
2000-04-14,44.03,499.93,248.495
2000-04-15,44.93,350.53,165.4575
2000-04-16,35.74,544.61,308.0729166666667
2000-04-17,41.56,499.99,277.7766666666667
2000-04-18,25.1,313.35,91.21458333333334
2000-04-19,32.89,404.59,79.55041666666666
2000-04-20,28.0,274.99,70.31625
2000-04-21,24.01,74.79,42.43958333333333
2000-04-22,24.0,52.38,40.7725
2000-04-23,28.0,453.36,86.56666666666666
2000-04-24,43.15,500.67,186.45875
2000-04-25,40.66,229.91,71.6925
2000-04-26,45.46,500.19,172.40416666666667
2000-04-27,41.71,501.35,113.84125
2000-04-28,9.13,43.49,31.71291666666667
2000-04-29,14.36,43.79,35.48583333333333
2000-04-30,9.13,43.38,31.002916666666668
2000-05-01,9.13,45.24,35.57958333333333
2000-05-02,9.13,45.12,36.1675
2000-05-03,9.13,265.73,46.59041666666667
2000-05-04,25.0,83.0,51.63125
2000-05-05,25.0,78.99,42.727916666666665
2000-05-06,25.0,43.07,36.8175
2000-05-07,25.0,42.53,32.66625
2000-05-08,12.55,43.05,33.430416666666666
2000-05-09,25.0,65.08,39.27625
2000-05-10,15.87,501.35,73.41625
2000-05-11,25.0,501.47,192.7775
2000-05-12,45.24,418.78,86.31958333333334
2000-05-13,25.0,45.69,40.14
2000-05-14,12.55,45.35,35.50791666666667
2000-05-15,24.95,84.99,43.397083333333335
2000-05-16,12.55,46.02,34.24125
2000-05-17,12.55,89.99,43.71625
2000-05-18,27.0,90.0,59.71416666666667
2000-05-19,27.0,67.89,51.35666666666666
2000-05-20,27.0,51.27,39.74583333333333
2000-05-21,24.95,58.53,41.51958333333334
2000-05-22,27.0,156.12,82.04333333333334
2000-05-23,36.0,78.99,53.75625
2000-05-24,27.0,67.5,51.05125
2000-05-25,27.0,107.2,49.43208333333334
2000-05-26,23.12,68.99,49.220416666666665
2000-05-27,24.99,59.22,47.10166666666667
2000-05-28,9.8,57.75,43.095416666666665
2000-05-29,12.55,63.23,44.42083333333333
2000-05-30,12.55,58.4,36.64541666666667
2000-05-31,24.99,62.58,48.07416666666666
2000-06-01,24.99,74.63,63.04416666666666
2000-06-02,31.15,69.62,57.75833333333333
2000-06-03,29.43,61.3,45.69833333333333
2000-06-04,12.55,58.73,36.14041666666667
2000-06-05,12.55,65.0,46.587916666666665
2000-06-06,45.26,591.19,100.02041666666668
2000-06-07,24.99,81.07,59.77791666666667
2000-06-08,42.45,119.32,68.22916666666667
2000-06-09,51.2,74.95,61.635416666666664
2000-06-10,25.06,156.03,69.36083333333333
2000-06-11,44.26,60.4,56.678333333333335
2000-06-12,12.55,499.99,75.20583333333333
2000-06-13,45.95,160.12,104.60333333333334
2000-06-14,49.99,995.0,267.12375000000003
2000-06-15,48.0,98.92,63.60833333333333
2000-06-16,24.91,538.06,103.65499999999999
2000-06-17,45.95,75.91,63.310833333333335
2000-06-18,38.85,62.43,56.68625
2000-06-19,46.0,223.36,79.00208333333333
2000-06-20,48.0,157.26,90.85458333333332
2000-06-21,42.45,506.57,179.4525
2000-06-22,58.95,516.15,138.16708333333332
2000-06-23,53.34,156.12,99.3275
2000-06-24,46.95,105.91,70.14291666666666
2000-06-25,25.49,88.77,62.96333333333333
2000-06-26,39.89,725.39,195.9825
2000-06-27,25.0,551.44,125.89541666666668
2000-06-28,56.0,720.56,252.25333333333333
2000-06-29,54.92,745.29,279.7725
2000-06-30,57.78,560.22,228.82500000000002
2000-07-01,59.11,155.84,78.935
2000-07-02,24.9,69.6,53.82041666666667
2000-07-03,25.0,155.84,73.54208333333334
2000-07-04,47.07,155.84,77.4725
2000-07-05,44.87,499.99,161.07833333333335
2000-07-06,45.0,499.99,154.62791666666666
2000-07-07,24.9,458.72,118.02208333333333
2000-07-08,45.0,440.6,87.28333333333335
2000-07-09,53.25,245.0,83.58416666666666
2000-07-10,54.92,148.0,97.41416666666667
2000-07-11,52.0,499.99,119.14208333333333
2000-07-12,54.92,478.25,157.15416666666667
2000-07-13,52.0,508.49,223.12666666666667
2000-07-14,57.36,746.69,267.32166666666666
2000-07-15,57.64,109.99,69.8125
2000-07-16,44.48,58.18,54.399166666666666
2000-07-17,24.98,65.98,52.06166666666667
2000-07-18,40.72,189.0,58.98333333333333
2000-07-19,51.52,499.99,99.09625
2000-07-20,55.85,610.0,291.73375
2000-07-21,53.11,499.99,204.0091666666667
2000-07-22,52.23,451.83,115.81041666666665
2000-07-23,41.01,52.4,50.54791666666667
2000-07-24,43.07,170.0,68.75916666666667
2000-07-25,46.38,448.09,181.6833333333333
2000-07-26,50.01,560.22,149.03583333333333
2000-07-27,48.11,448.09,114.58541666666666
2000-07-28,52.36,603.07,163.95708333333332
2000-07-29,51.74,119.68,63.879583333333336
2000-07-30,38.05,121.17,67.81375
2000-07-31,52.65,755.32,288.83375
2000-08-01,51.6,562.58,299.46250000000003
2000-08-02,51.86,77.59,61.638749999999995
2000-08-03,47.14,344.77,110.31374999999998
2000-08-04,55.85,748.08,393.66125000000005
2000-08-05,55.69,562.58,149.05125
2000-08-06,52.62,121.17,68.40625
2000-08-07,18.07,121.17,59.001666666666665
2000-08-08,54.41,444.0,220.14291666666668
2000-08-09,54.74,488.65,191.78291666666667
2000-08-10,53.38,496.79,195.80166666666665
2000-08-11,50.21,664.96,250.09041666666667
2000-08-12,50.37,148.0,92.5175
2000-08-13,58.92,116.44,67.27374999999999
2000-08-14,60.3,502.26,208.18416666666667
2000-08-15,59.79,551.86,335.32625
2000-08-16,60.17,501.92,306.42083333333335
2000-08-17,53.22,502.48,276.66791666666666
2000-08-18,68.0,727.27,343.34875000000005
2000-08-19,66.53,499.98,176.95291666666665
2000-08-20,65.54,368.65,83.37958333333334
2000-08-21,56.82,562.58,234.12166666666667
2000-08-22,69.15,553.7,349.1441666666667
2000-08-23,69.54,994.0,506.11833333333334
2000-08-24,68.0,560.22,316.2320833333333
2000-08-25,68.0,728.72,359.1170833333333
2000-08-26,61.03,498.79,157.68125
2000-08-27,53.88,417.36,98.16833333333334
2000-08-28,54.29,499.26,136.85958333333335
2000-08-29,55.01,84.75,67.71083333333333
2000-08-30,58.28,88.78,71.69541666666667
2000-08-31,62.68,135.96,78.63833333333334
2000-09-01,68.36,479.94,115.63416666666666
2000-09-02,66.52,82.21,77.04083333333334
2000-09-03,65.43,77.5,73.8275
2000-09-04,67.22,255.56,86.03125
2000-09-05,67.08,524.23,218.20833333333334
2000-09-06,72.84,561.59,353.3775
2000-09-07,76.18,562.58,358.93250000000006
2000-09-08,72.63,500.28,272.6608333333333
2000-09-09,71.49,463.53,136.84916666666666
2000-09-10,70.93,500.48,94.83
2000-09-11,74.89,500.48,195.60333333333332
2000-09-12,73.36,554.23,324.255
2000-09-13,74.89,550.63,363.24916666666667
2000-09-14,76.13,569.71,322.23791666666665
2000-09-15,77.6,500.48,265.5975
2000-09-16,22.32,89.72,76.105
2000-09-17,18.27,454.26,90.96583333333332
2000-09-18,75.0,562.02,269.7345833333333
2000-09-19,75.09,599.0,324.3254166666667
2000-09-20,75.0,444.45,100.31625000000001
2000-09-21,75.47,129.7,83.67791666666666
2000-09-22,74.18,94.75,79.57208333333334
2000-09-23,76.56,172.4,86.86
2000-09-24,38.05,92.2,77.80833333333334
2000-09-25,75.64,221.69,92.02583333333332
2000-09-26,75.23,503.34,129.49125
2000-09-27,76.18,558.44,219.32333333333335
2000-09-28,77.04,499.87,134.80833333333334
2000-09-29,65.63,478.75,122.6025
2000-09-30,92.69,248.56,142.46458333333334
2000-10-01,83.9,244.0,103.54166666666667
2000-10-02,75.0,104.5,83.9525
2000-10-03,77.24,278.66,107.07375
2000-10-04,80.59,499.99,277.80625000000003
2000-10-05,90.31,503.34,254.405
2000-10-06,89.02,561.3,378.7579166666667
2000-10-07,74.09,447.49,157.04833333333332
2000-10-08,81.79,157.29,104.02666666666669
2000-10-09,75.43,391.99,145.56833333333333
2000-10-10,80.01,502.39,202.65666666666667
2000-10-11,82.16,570.22,360.8183333333333
2000-10-12,77.57,609.76,251.49666666666667
2000-10-13,82.48,528.41,301.70708333333334
2000-10-14,80.58,499.99,286.47083333333336
2000-10-15,80.4,461.04,124.23666666666666
2000-10-16,92.72,499.99,198.04375000000002
2000-10-17,81.98,503.34,289.87583333333333
2000-10-18,93.13,559.07,220.64
2000-10-19,94.8,502.14,263.08583333333337
2000-10-20,95.0,565.82,333.8633333333333
2000-10-21,101.11,755.09,490.56708333333336
2000-10-22,117.58,562.22,430.33541666666673
2000-10-23,88.43,503.34,288.0075
2000-10-24,88.51,499.49,271.7029166666667
2000-10-25,88.51,562.22,379.65333333333336
2000-10-26,86.5,802.52,450.35583333333335
2000-10-27,86.9,513.13,362.51875
2000-10-28,78.01,429.29,144.85166666666666
2000-10-29,69.2,366.21,130.084
2000-10-30,70.47,503.34,191.26583333333335
2000-10-31,79.1,444.0,272.42125
2000-11-01,81.04,424.0,149.90833333333333
2000-11-02,68.59,499.74,159.51000000000002
2000-11-03,86.07,511.38,277.1033333333333
2000-11-04,81.4,485.02,162.67083333333332
2000-11-05,71.84,338.58,137.505
2000-11-06,71.75,749.0,249.68666666666664
2000-11-07,85.09,994.0,365.5804166666667
2000-11-08,90.14,994.0,388.38041666666663
2000-11-09,94.14,513.13,224.95666666666668
2000-11-10,89.06,494.49,174.70708333333334
2000-11-11,84.25,328.95,137.94291666666666
2000-11-12,83.93,675.36,130.35
2000-11-13,84.8,555.23,250.08041666666668
2000-11-14,89.56,513.13,281.96999999999997
2000-11-15,88.65,513.13,230.2279166666667
2000-11-16,91.39,499.96,158.26666666666668
2000-11-17,89.88,435.28,150.16041666666666
2000-11-18,83.06,921.13,203.77958333333333
2000-11-19,84.2,221.98,114.315
2000-11-20,88.57,718.1,199.74208333333334
2000-11-21,108.95,994.0,391.28
2000-11-22,133.33,994.0,402.90291666666667
2000-11-23,91.47,502.18,259.2858333333333
2000-11-24,102.95,497.99,204.5225
2000-11-25,102.99,346.49,148.06833333333333
2000-11-26,90.85,497.74,154.2720833333333
2000-11-27,99.02,482.23,242.26958333333334
2000-11-28,97.43,532.65,316.38
2000-11-29,92.04,854.0,305.91041666666666
2000-11-30,94.36,498.59,260.08166666666665
2000-12-01,96.24,499.87,281.94958333333335
2000-12-02,103.84,398.98,146.70250000000001
2000-12-03,99.07,497.69,226.11083333333332
2000-12-04,101.03,599.92,211.47125000000003
2000-12-05,114.62,571.56,173.00666666666666
2000-12-06,113.47,815.0,202.13125
2000-12-07,106.85,241.67,130.60958333333335
2000-12-08,106.85,700.03,199.61541666666665
2000-12-09,128.9,420.0,171.58875
2000-12-10,131.69,998.01,253.09625000000003
2000-12-11,140.12,999.99,221.88458333333335
2000-12-12,158.47,999.99,215.03291666666667
2000-12-13,134.51,337.17,180.485
2000-12-14,131.39,998.0,306.27958333333333
2000-12-15,127.97,700.03,288.77958333333333
2000-12-16,138.8,885.5,297.82
2000-12-17,98.0,166.1,134.41166666666666
2000-12-18,98.0,700.03,213.48416666666665
2000-12-19,107.14,241.67,178.62333333333333
2000-12-20,8.32,205.01,122.62958333333334
2000-12-21,12.36,700.03,228.5845833333333
2000-12-22,159.98,500.0,240.05166666666665
2000-12-23,135.26,165.78,149.76833333333335
2000-12-24,38.0,152.02,106.91208333333333
2000-12-25,76.95,152.02,143.61541666666668
2000-12-26,67.72,151.88,134.16875
2000-12-27,148.12,159.35,152.37875
2000-12-28,19.88,156.65,129.38833333333335
2000-12-29,135.8,173.87,151.54291666666668
2000-12-30,131.74,169.63,147.80875
2000-12-31,44.32,147.99,116.39083333333333
2001-01-01,141.36,141.42,141.39458333333334
2001-01-02,69.01,305.19,184.04791666666665
2001-01-03,95.37,220.0,158.97833333333332
2001-01-04,97.88,505.21,150.10958333333335
2001-01-05,97.88,213.0,112.30166666666666
2001-01-06,97.72,230.0,143.82833333333335
2001-01-07,97.83,97.91,97.89999999999999
2001-01-08,91.25,230.25,108.2275
2001-01-09,43.65,130.22,93.92666666666666
2001-01-10,35.49,118.26,94.94916666666667
2001-01-11,35.49,241.0,95.52208333333333
2001-01-12,90.1,214.22,108.22708333333333
2001-01-13,93.61,125.35,101.04166666666667
2001-01-14,97.72,107.18,99.4425
2001-01-15,97.71,217.04,132.27083333333334
2001-01-16,59.0,293.58,100.94041666666668
2001-01-17,59.0,98.35,89.65291666666667
2001-01-18,95.27,320.85,108.09958333333333
2001-01-19,84.0,650.0,153.76500000000001
2001-01-20,97.91,234.43,144.51666666666668
2001-01-21,123.08,271.23,194.89458333333334
2001-01-22,123.13,444.15,203.56083333333333
2001-01-23,123.11,369.53,217.01958333333334
2001-01-24,122.99,385.0,206.10541666666666
2001-01-25,121.0,248.12,157.93291666666667
2001-01-26,76.5,123.08,100.02499999999999
2001-01-27,106.1,126.41,121.90875
2001-01-28,107.2,123.47,122.05666666666667
2001-01-29,76.5,157.25,103.71458333333334
2001-01-30,76.5,129.99,99.915
2001-01-31,97.89,236.26,121.59416666666668
2001-02-01,110.23,245.01,139.44958333333332
2001-02-02,97.0,112.52,102.85541666666666
2001-02-03,88.67,97.78,93.23375
2001-02-04,70.0,88.61,84.42
2001-02-05,65.0,158.17,100.835
2001-02-06,74.99,110.2,94.41166666666668
2001-02-07,88.5,240.0,106.02833333333332
2001-02-08,96.21,432.0,227.36291666666668
2001-02-09,113.58,569.35,292.53208333333333
2001-02-10,124.0,373.98,203.23458333333335
2001-02-11,104.99,245.0,141.24666666666667
2001-02-12,97.85,277.14,138.48041666666666
2001-02-13,97.84,240.0,124.17458333333333
2001-02-14,91.23,139.75,112.94458333333334
2001-02-15,89.81,174.87,113.67666666666668
2001-02-16,35.49,122.2,93.01375
2001-02-17,93.0,97.88,96.22500000000001
2001-02-18,92.5,93.27,92.97666666666667
2001-02-19,35.49,97.88,87.78083333333332
2001-02-20,92.5,125.53,99.43708333333335
2001-02-21,89.0,337.73,139.02625
2001-02-22,87.66,245.5,120.03333333333335
2001-02-23,84.68,119.75,95.99666666666667
2001-02-24,34.76,97.0,75.61708333333333
2001-02-25,35.49,84.72,80.22541666666667
2001-02-26,34.76,97.83,79.97166666666666
2001-02-27,9.57,96.95,51.82708333333333
2001-02-28,35.49,97.85,81.99583333333334
2001-03-01,35.0,97.0,72.85958333333333
2001-03-02,25.0,348.01,105.0775
2001-03-03,35.49,204.26,90.82333333333334
2001-03-04,35.49,245.03,121.28666666666668
2001-03-05,35.49,413.77,167.17208333333335
2001-03-06,81.0,245.03,111.52583333333332
2001-03-07,50.23,97.93,88.44
2001-03-08,9.58,97.85,77.24166666666666
2001-03-09,35.0,97.95,80.48416666666667
2001-03-10,79.51,334.24,183.56083333333333
2001-03-11,79.5,245.06,177.00208333333333
2001-03-12,35.0,97.86,82.49249999999999
2001-03-13,23.0,97.86,76.88000000000001
2001-03-14,35.0,97.87,81.58333333333333
