begin_datetime_utc,pool_price,forecast_pool_price,rolling_30day_avg
2014-01-01 07:00,30.47,31.14,53.12
2014-01-01 08:00,28.2,27.84,53.13
2014-01-01 09:00,30.14,32.51,53.14
2014-01-01 10:00,26.29,27.85,53.15
2014-01-01 11:00,25.62,26.19,53.17
2014-01-01 12:00,25.62,26.79,53.18
2014-01-01 13:00,25.6,25.78,53.18
2014-01-01 14:00,20.31,20.13,53.17
2014-01-01 15:00,20.48,20.27,53.17
2014-01-01 16:00,20.35,20.92,53.16
2014-01-01 17:00,12.31,14.97,53.14
2014-01-01 18:00,13.48,15.66,53.12
2014-01-01 19:00,16.2,17.5,53.11
2014-01-01 20:00,16.47,15.8,53.09
2014-01-01 21:00,15.95,17.08,53.07
2014-01-01 22:00,15.09,12.89,53.03
2014-01-01 23:00,20.14,20.8,52.81
2014-01-02 00:00,28.51,24.85,52.52
2014-01-02 01:00,26.2,25.84,52.35
2014-01-02 02:00,23.47,23.99,52.33
2014-01-02 03:00,23.16,23.47,52.32
2014-01-02 04:00,20.61,21.54,52.32
2014-01-02 05:00,15.12,15.93,52.31
2014-01-02 06:00,11.28,11.06,52.30
2014-01-02 07:00,11.58,11.9,52.30
2014-01-02 08:00,14.13,14.64,52.31
2014-01-02 09:00,17.61,17.7,52.32
2014-01-02 10:00,16.82,10.67,52.32
2014-01-02 11:00,12.87,10.65,52.32
2014-01-02 12:00,9.89,8.16,52.32
2014-01-02 13:00,10.3,10.81,52.30
2014-01-02 14:00,14.63,18.98,52.28
2014-01-02 15:00,18.22,15.02,52.26
2014-01-02 16:00,21.85,20.74,52.26
2014-01-02 17:00,22.7,22.36,52.25
2014-01-02 18:00,24.1,23.39,52.23
2014-01-02 19:00,22.7,22.55,52.18
2014-01-02 20:00,22.38,22.48,51.84
2014-01-02 21:00,18.4,19.69,51.62
2014-01-02 22:00,16.55,18.32,51.54
2014-01-02 23:00,19.09,19.4,51.10
2014-01-03 00:00,29.09,29.25,50.17
