Date,Clean_Coal_Generation,Trend_Coal_Generation
1/18/2015,113419.5753,97158.20332
1/19/2015,115119.9213,98687.82712
1/20/2015,124040.4877,100176.0888
1/21/2015,117097.0216,101621.1372
1/22/2015,109760.1392,103021.2051
1/23/2015,106565.2898,104374.6139
1/24/2015,98050.14478,105679.7769
1/25/2015,100168.8633,106935.2028
1/26/2015,106671.3404,108139.4994
1/27/2015,112317.9689,109291.3761
1/28/2015,115456.6307,110389.6473
1/29/2015,109892.6474,111433.2344
1/30/2015,110731.02,112421.1684
1/31/2015,107160.0886,113352.5918
2/1/2015,101899.7115,114226.7604
2/2/2015,101855.8018,115043.0447
2/3/2015,106309.5195,115800.931
2/4/2015,97988.98201,116500.0223
2/5/2015,107608.8338,117140.0391
2/6/2015,109725.4412,117720.8193
2/7/2015,106425.4161,118242.3186
2/8/2015,111182.4027,118704.6099
2/9/2015,108821.4925,119107.883
2/10/2015,111472.5159,119452.4434
2/11/2015,111399.5476,119738.7116
2/12/2015,108850.7029,119967.2211
2/13/2015,111542.284,120138.6173
2/14/2015,104067.4724,120253.655
2/15/2015,108235.5881,120313.1965
2/16/2015,115202.6537,120318.2089
2/17/2015,124101.7351,120269.7614
2/18/2015,115522.4102,120169.0224
2/19/2015,110860.5577,120017.2561
2/20/2015,115349.023,119815.8189
2/21/2015,117328.165,119566.1563
2/22/2015,113781.9512,119269.7982
2/23/2015,116324.8542,118928.3554
2/24/2015,114991.5243,118543.5153
2/25/2015,121158.3375,118117.0371
2/26/2015,124343.8248,117650.7475
2/27/2015,114860.0725,117146.5358
2/28/2015,102030.7878,116606.3492
3/1/2015,103349.5626,116032.1877
3/2/2015,114584.2739,115426.0987
3/3/2015,121932.6917,114790.1724
3/4/2015,117804.0361,114126.5361
3/5/2015,117111.4406,113437.349
3/6/2015,107060.5828,112724.7967
3/7/2015,101638.1241,111991.0859
3/8/2015,95844.55063,111238.439
3/9/2015,99956.02726,110469.0885
3/10/2015,114454.621,109685.2719
3/11/2015,113292.9205,108889.2257
3/12/2015,104788.383,108083.1807
3/13/2015,105078.5881,107269.3563
3/14/2015,91438.98692,106449.9554
3/15/2015,96320.95526,105627.1592
3/16/2015,103630.7356,104803.122
3/17/2015,107794.2535,103979.9667
3/18/2015,107432.8922,103159.7794
3/19/2015,103412.7022,102344.6051
3/20/2015,102824.8502,101536.4431
3/21/2015,90792.6516,100737.2425
3/22/2015,91556.95086,99948.8979
3/23/2015,94787.90882,99173.24574
3/24/2015,103644.523,98412.06005
3/25/2015,96712.87394,97667.04902
3/26/2015,92751.40153,96939.8515
3/27/2015,93110.60579,96232.03377
3/28/2015,93765.74529,95545.08656
3/29/2015,91735.22635,94880.42226
3/30/2015,96843.49123,94239.37238
3/31/2015,97833.56881,93623.18529
4/1/2015,92853.23995,93033.02413
4/2/2015,97742.80104,92469.96505
4/3/2015,95494.75227,91934.99562
4/4/2015,96843.15199,91429.01358
4/5/2015,97795.98508,90952.82577
4/6/2015,99644.45968,90507.14738
4/7/2015,104784.9399,90092.60142
4/8/2015,104675.2777,89709.71845
4/9/2015,96803.49509,89358.93658
4/10/2015,93335.60406,89040.60169
4/11/2015,81275.55009,88754.96797
4/12/2015,79936.82988,88502.19863
4/13/2015,90610.5208,88282.36687
4/14/2015,93769.42034,88095.45713
4/15/2015,96707.0695,87941.36655
4/16/2015,98777.84782,87819.90658
4/17/2015,96728.85761,87730.80496
4/18/2015,94459.48095,87673.70777
4/19/2015,98855.87283,87648.18177
4/20/2015,101067.3673,87653.71686
4/21/2015,100291.509,87689.72883
4/22/2015,94177.93278,87755.56215
4/23/2015,98255.24465,87850.49308
4/24/2015,98126.19574,87973.73276
4/25/2015,96529.91436,88124.43063
4/26/2015,95235.64722,88301.67782
4/27/2015,92534.2916,88504.51075
4/28/2015,89642.40108,88731.91485
4/29/2015,90056.53113,88982.82831
4/30/2015,91224.64775,89256.14595
5/1/2015,92383.35679,89550.72322
5/2/2015,93297.87085,89865.38013
5/3/2015,93090.95536,90198.90537
5/4/2015,96701.93051,90550.06036
5/5/2015,94051.68213,90917.58337
5/6/2015,100845.2322,91300.19366
5/7/2015,93376.71641,91696.59557
5/8/2015,86903.00376,92105.48267
5/9/2015,84040.13325,92525.54178
5/10/2015,90483.69775,92955.45706
5/11/2015,83274.79427,93393.91397
5/12/2015,80050.35795,93839.60323
5/13/2015,88871.81395,94291.22463
5/14/2015,84904.87651,94747.49081
5/15/2015,88442.79434,95207.13099
5/16/2015,89012.02311,95668.89446
5/17/2015,88656.64742,96131.55409
5/18/2015,90038.19158,96593.90962
5/19/2015,92525.73642,97054.79091
5/20/2015,85723.0977,97513.06095
5/21/2015,82061.5848,97967.6188
5/22/2015,81896.64701,98417.40233
5/23/2015,85455.30166,98861.39081
5/24/2015,96308.57249,99298.60732
5/25/2015,92820.14859,99728.12103
5/26/2015,100162.4566,100149.0492
5/27/2015,106319.5278,100560.5592
5/28/2015,103753.995,100961.8701
5/29/2015,95343.19565,101352.254
5/30/2015,82950.05433,101731.0379
5/31/2015,90916.51186,102097.604
6/1/2015,105671.3153,102451.3915
6/2/2015,108933.9448,102791.8967
6/3/2015,106790.3148,103118.6736
6/4/2015,98725.21741,103431.3347
6/5/2015,101734.5794,103729.5505
6/6/2015,103150.2665,104013.0499
6/7/2015,109402.8008,104281.6198
6/8/2015,109024.4646,104535.1046
6/9/2015,115347.1179,104773.4058
6/10/2015,110714.8032,104996.4811
6/11/2015,109035.5897,105204.3431
6/12/2015,104862.5694,105397.0589
6/13/2015,100204.382,105574.7482
6/14/2015,100367.6251,105737.582
6/15/2015,104536.8415,105885.7811
6/16/2015,107379.6745,106019.6142
6/17/2015,115126.9325,106139.3964
6/18/2015,115848.1212,106245.4866
6/19/2015,112053.2932,106338.2858
6/20/2015,113056.4015,106418.2348
6/21/2015,121344.3339,106485.8118
6/22/2015,108580.5109,106541.53
6/23/2015,109225.7912,106585.935
6/24/2015,110763.7264,106619.6025
6/25/2015,104691.5379,106643.1351
6/26/2015,106650.0202,106657.1604
6/27/2015,102875.2163,106662.3274
6/28/2015,91054.88451,106659.3044
6/29/2015,94265.49302,106648.7757
6/30/2015,92075.64769,106631.4392
7/1/2015,98767.47018,106608.0033
7/2/2015,103101.4264,106579.184
7/3/2015,105469.2204,106545.7024
7/4/2015,91564.83073,106508.2817
7/5/2015,100021.313,106467.6446
7/6/2015,97964.35374,106424.5103
7/7/2015,97993.07767,106379.5923
7/8/2015,100504.3438,106333.5953
7/9/2015,112588.8004,106287.2129
7/10/2015,110895.1766,106241.1256
7/11/2015,103984.3931,106195.9973
7/12/2015,100683.9708,106152.4743
7/13/2015,110312.7321,106111.1823
7/14/2015,116471.3466,106072.7245
7/15/2015,116899.5739,106037.6796
7/16/2015,106892.5882,106006.6004
7/17/2015,103589.3384,105980.0113
7/18/2015,105563.5027,105958.4072
7/19/2015,110126.3456,105942.2521
