Date,Coal,Trend_Coal_Generation,Gas,Trend + Seasonal Component_x,Solar,Trend_Seasonal_Component,Wind,Trend + Seasonal Component_y
2018-02-16,76206.83603,82201.93117,123494.2905,131891.2669,52.72399897,2.631894493,19336.487,12246.76825
2018-02-17,81816.91476,82162.23669,126563.9953,131851.6188,27.49649944,17.33764736,6197.31098,12126.65225
2018-02-18,77065.76699,82132.45132,132791.5628,131798.378,14.15227749,31.87672671,6461.857353,12005.44807
2018-02-19,86598.56707,82111.82693,136654.1873,131731.4947,51.48338783,46.19671785,4799.598723,11883.37688
2018-02-20,95336.94066,82099.58578,135154.5517,131650.9352,78.21772068,60.24716125,10527.18242,11760.66738
2018-02-21,89654.52206,82094.92322,135238.8501,131556.6823,58.29133221,73.97968708,17399.81125,11637.55498
2018-02-22,95611.13199,82097.01048,138016.4563,131448.7352,50.36233206,87.34814148,6696.941732,11514.28107
2018-02-23,83311.81921,82104.99751,129378.5424,131327.1103,88.69616507,100.3087043,24784.21424,11391.09212
2018-02-24,73137.05986,82118.01596,125772.9393,131191.8413,72.06372086,112.8199977,22113.9672,11268.2389
2018-02-25,70409.33121,82135.18211,122909.0567,131042.9792,62.22577685,124.8431858,22526.46106,11145.97556
2018-02-26,81227.72306,82155.59997,133986.9817,130880.5928,90.12122089,136.3420649,15212.82043,11024.55872
2018-02-27,72597.39166,82178.36428,126886.4069,130704.7687,65.77110999,147.2831429,26689.33254,10904.24665
2018-02-28,76556.76533,82202.5637,129360.4919,130515.6116,94.90405401,157.6357104,15702.70047,10785.29825
2018-03-01,84496.28846,82227.28389,135599.0178,130313.2444,64.99977671,167.3719005,9040.886682,10667.97223
2018-03-02,89837.1465,82251.61065,131790.3334,130097.8081,18.20899957,176.4667385,11577.49025,10552.5261
2018-03-03,91259.81348,82274.63303,127379.5761,129869.4621,67.81294331,184.8981814,6979.79216,10439.21529
2018-03-04,92121.40122,82295.4465,125425.5711,129628.3841,76.36566524,192.6471473,1219.122291,10328.2922
2018-03-05,97126.31521,82313.15605,127882.5019,129374.7699,98.4214154,199.6975337,2077.785525,10220.00532
2018-03-06,94348.74882,82326.8792,126932.0821,129108.834,97.67694323,206.036226,5262.284798,10114.59828
2018-03-07,93373.66268,82335.74909,130332.7258,128830.8086,94.74455434,211.653095,3928.678841,10012.30899
2018-03-08,86228.02519,82338.91747,132069.274,128540.9442,45.12983245,216.5409849,10329.71969,9913.368718
2018-03-09,75733.83765,82335.55756,125417.8128,128239.5093,72.24899873,220.6956908,19412.4809,9818.00129
2018-03-10,83266.16826,82324.86696,123423.3249,127926.7899,101.7797767,224.1159257,6501.816076,9726.42221
2018-03-11,85127.38837,82306.07039,125515.3733,127603.0895,103.0633314,226.8032788,4284.351247,9638.83787
2018-03-12,90888.25314,82278.42243,127915.1431,127268.7292,87.21013764,228.7621634,3685.661948,9555.444767
2018-03-13,86139.33791,82241.21004,124968.5543,126924.0465,95.24369248,229.9997557,9946.120389,9476.428754
2018-03-14,88555.73692,82193.7551,124619.8499,126569.396,3.348777751,230.5259251,10317.16131,9401.964332
2018-03-15,92298.98349,82135.41678,126371.9828,126205.1482,32.29283273,230.3531549,6551.204229,9332.213967
2018-03-16,87534.70337,82065.5938,129318.5589,125831.6898,77.65316538,229.4964558,2854.1071,9267.327467
2018-03-17,81876.23091,81983.72655,130568.8595,125449.4225,38.89661031,227.9732704,374.7888087,9207.44138
2018-03-18,77363.87607,81889.29911,133947.0458,125058.7632,63.66530441,225.8033713,1634.530153,9152.678451
2018-03-19,85594.5132,81781.84108,130954.7536,124660.1432,101.3329427,223.0087509,5056.637033,9103.147125
2018-03-20,78377.04928,81660.92935,120686.1815,124254.0077,97.07369297,219.6135053,17031.48292,9058.941088
2018-03-21,86165.38258,81526.18959,126266.2587,123840.8152,77.16516568,215.6437123,6108.061406,9020.138876
2018-03-22,84358.07623,81377.29774,129925.3444,123421.0369,58.69155427,211.1273029,6024.113629,8986.80352
2018-03-23,71952.89729,81213.98118,125626.123,122995.1562,109.7009979,206.0939283,18646.47345,8958.982252
2018-03-24,71169.44576,81036.01989,127994.844,122563.6678,66.29955456,200.5748219,6380.928727,8936.70627
2018-03-25,62793.17923,80843.24731,128533.1659,122127.0772,48.74105465,194.6026574,14822.7534,8919.990545
2018-03-26,57607.9611,80635.55109,124770.674,121685.9,117.3215541,188.2114035,27822.49743,8908.833702
2018-03-27,67395.22703,80412.87372,122507.5077,121240.661,86.8316097,181.4361749,21164.08873,8903.217942
2018-03-28,82320.29274,80175.21286,127654.2512,120791.8934,36.78599937,174.3130819,3508.408774,8903.109033
2018-03-29,81783.64767,79922.62159,125540.9701,120340.1384,77.02327673,166.8790775,6997.81045,8908.456352
2018-03-30,69609.43254,79655.20846,126693.0584,119885.9437,46.94205483,159.1718031,12927.75758,8919.192983
2018-03-31,75202.2512,79373.13734,129777.5873,119429.8634,74.93983188,151.2294339,4947.046434,8935.235881
2018-04-01,75539.55135,79076.62715,117376.8581,118972.4566,92.76105368,143.090524,2022.390664,8956.486084
2018-04-02,76983.60005,78765.95131,118872.8386,118514.2868,92.52841508,134.7938518,3345.601044,8982.82898
2018-04-03,76227.06841,78441.43716,118660.7939,118055.9211,119.3519974,126.3782666,5381.328854,9014.13464
2018-04-04,80692.13186,78103.46506,115820.3491,117597.9287,110.328665,117.8825364,8206.658232,9050.258189
2018-04-05,84680.02456,77752.46743,112735.1514,117140.8809,109.0043308,109.3451984,5461.534837,9091.040245
2018-04-06,82919.89121,77388.92755,113371.5023,116685.3494,112.7916091,100.8044114,6704.563733,9136.307398
2018-04-07,78287.81305,77013.37828,109182.7887,116231.9058,82.55666519,92.29781156,6398.824332,9185.87274
2018-04-08,80994.3891,76626.40051,105872.6585,115781.1204,10.76849948,83.86237223,1069.139833,9239.53645
2018-04-09,73314.65106,76228.62156,103525.8412,115333.5614,107.4143315,75.53426724,15676.07724,9297.086413
2018-04-10,76788.0774,75820.71338,103147.3413,114889.7939,91.59227628,67.34873919,11424.34772,9358.298894
2018-04-11,83867.2763,75403.39059,100477.0694,114450.3791,37.63427704,59.33997263,11729.089,9422.93924
2018-04-12,85205.72701,74977.40845,107640.4665,114015.8731,20.44711049,51.54097275,3188.549062,9490.762631
2018-04-13,72508.75094,74543.5606,107152.2387,113586.8261,73.0583321,43.98344984,17661.75319,9561.514863
2018-04-14,61970.3164,74102.6768,106674.7251,113163.7815,99.70877628,36.69771005,22032.61744,9634.933158
2018-04-15,72887.77638,73655.62041,110841.9992,112747.2747,90.18472084,29.7125527,7478.931674,9710.747017
2018-04-16,85271.15743,73203.28591,107248.4312,112337.8328,27.23277727,23.05517453,8730.381013,9788.679082
2018-04-17,75195.29941,72746.59618,106152.5949,111935.9728,114.5916659,16.75108104,19563.96096,9868.446042
2018-04-18,79970.6876,72286.49983,105096.9904,111542.2015,120.8760536,10.82400545,8987.286993,9949.759539
2018-04-19,79281.65316,71823.96827,105240.8449,111157.0143,118.0107207,5.29583522,5677.845162,10032.32711
2018-04-20,70090.46045,71359.9929,104578.8673,110780.8941,112.1976376,0.18654652,11668.09507,10115.85312
2018-04-21,57513.99862,70895.58206,101206.5672,110414.3109,29.72872171,-4.485853196,24159.17911,10200.03974
2018-04-22,68101.27698,70431.75806,100972.2315,110057.7207,111.2533321,-8.705374446,11983.27778,10284.58789
2018-04-23,79337.26782,69969.55407,104498.4488,109711.5649,112.5462204,-12.45808662,4052.467457,10369.19822
2018-04-24,67364.16232,69510.011,102939.9283,109376.2693,110.0045259,-15.73215047,19221.61065,10453.57208
2018-04-25,68284.08445,69054.1744,109564.2688,109052.2434,87.51055453,-18.51784219,13438.61951,10537.41247
2018-04-26,71969.46086,68603.09124,109931.4063,108739.88,119.699498,-20.80756895,6438.890929,10620.425
2018-04-27,65344.80201,68157.80677,108158.0958,108439.554,118.4550538,-22.59587608,11969.17093,10702.31887
2018-04-28,52130.67104,67719.36137,108484.8534,108151.6221,115.6361091,-23.87944576,15142.5775,10782.80775
2018-04-29,47997.88427,67288.78734,110550.2533,107876.4224,75.30972097,-24.65708748,21807.14372,10861.61072
2018-04-30,71225.31827,66867.10583,112979.1682,107614.273,119.4673874,-24.92972019,3872.634665,10938.45319
2018-05-01,60962.05388,66455.32369,114908.9602,107365.4723,83.45688749,-24.70034652,12178.42829,11013.06774
2018-05-02,66435.3541,66054.43039,108760.3747,107130.2983,115.5236094,-23.97401896,12472.79536,11085.19497
2018-05-03,65749.33708,65665.39506,105858.0057,106909.0077,115.2862206,-22.75779848,12822.48112,11154.58434
2018-05-04,59926.83411,65289.16348,105971.878,106701.8359,86.04977628,-21.06070557,14300.36237,11220.99492
2018-05-05,55147.88286,64926.65523,112404.6626,106508.9965,102.0716649,-18.89366417,4317.919114,11284.19617
2018-05-06,57267.19302,64578.76086,111972.3601,106330.6811,110.7354428,-16.26943857,2263.138668,11343.96863
2018-05-07,62029.03012,64246.33916,111839.3986,106167.0586,88.08222068,-13.20256379,9707.409221,11400.10459
