Date,Daily Gas Generation,Trend + Seasonal Component
1/1/2015,87172.18642,130165.3482
1/2/2015,89056.28883,128414.9406
1/3/2015,100010.4937,126671.6332
1/4/2015,96753.27872,124938.0268
1/5/2015,97365.51341,123216.6862
1/6/2015,99719.56442,121510.1345
1/7/2015,87633.01352,119820.847
1/8/2015,91936.78358,118151.2459
1/9/2015,89979.9862,116503.6944
1/10/2015,90047.31286,114880.492
1/11/2015,91214.90967,113283.8689
1/12/2015,94048.20202,111715.9814
1/13/2015,84398.07691,110178.9071
1/14/2015,82141.98194,108674.6404
1/15/2015,82817.03737,107205.0884
1/16/2015,80541.03219,105772.0668
1/17/2015,82709.47308,104377.2963
1/18/2015,76042.98548,103022.3988
1/19/2015,80140.60627,101708.8948
1/20/2015,85005.23047,100438.1999
1/21/2015,81577.66166,99211.62228
1/22/2015,83554.39579,98030.36074
1/23/2015,88280.53747,96895.50219
1/24/2015,88475.18283,95808.02009
1/25/2015,85669.14169,94768.77299
1/26/2015,84392.46561,93778.50335
1/27/2015,85710.23181,92837.83671
1/28/2015,97640.30142,91947.28114
1/29/2015,98012.77212,91107.22701
1/30/2015,98443.44284,90317.94706
1/31/2015,106486.4313,89579.59677
2/1/2015,107709.5201,88892.21503
2/2/2015,115155.1352,88255.7251
2/3/2015,115903.8588,87669.93589
2/4/2015,108861.3636,87134.54349
2/5/2015,106430.0128,86649.133
2/6/2015,96915.92316,86213.18064
2/7/2015,89053.8695,85826.05608
2/8/2015,93358.41202,85487.02515
2/9/2015,103549.6645,85195.25263
2/10/2015,98536.1227,84949.80542
2/11/2015,92634.6242,84749.65588
2/12/2015,81546.74371,84593.6854
2/13/2015,81264.70656,84480.68818
2/14/2015,83375.99409,84409.37522
2/15/2015,84259.27202,84378.37846
2/16/2015,86972.7225,84386.25515
2/17/2015,92722.69321,84431.49235
2/18/2015,86007.87628,84512.51154
2/19/2015,83077.76126,84627.67345
2/20/2015,90229.0864,84775.28293
2/21/2015,87846.53871,84953.59398
2/22/2015,85774.86267,85160.81482
2/23/2015,82523.74973,85395.11312
2/24/2015,80063.85566,85654.62117
2/25/2015,92575.00186,85937.44123
2/26/2015,91689.17721,86241.65082
2/27/2015,96510.72214,86565.30808
2/28/2015,96064.31958,86906.45708
3/1/2015,93050.62872,87263.13319
3/2/2015,90079.4673,87633.36837
3/3/2015,96478.26367,88015.19646
